Date,GLD,SPY,TLT,VNQ,XOM
2019-01-02,121.33000183105469,224.38250732421875,99.44602966308594,55.52355194091797,50.00184631347656
2019-01-03,122.43000030517578,219.0281524658203,100.57765197753906,55.911705017089844,49.23412322998047
2019-01-04,121.44000244140625,226.3646697998047,99.41345977783203,56.56626892089844,51.049373626708984
2019-01-07,121.86000061035156,228.14950561523438,99.12033081054688,57.12187957763672,51.31485366821289
2019-01-08,121.52999877929688,230.29299926757812,98.85982513427734,58.30162811279297,51.68793869018555
2019-01-09,122.30999755859375,231.36924743652344,98.70516967773438,58.2178955078125,51.9605827331543
2019-01-10,121.58999633789062,232.18545532226562,98.07014465332031,59.009464263916016,51.69512176513672
2019-01-11,121.80000305175781,232.2751007080078,98.45276641845703,59.17691421508789,51.45834732055664
2019-01-14,122.08999633789062,230.85800170898438,98.08643341064453,58.97901916503906,51.393760681152344
2019-01-15,121.87999725341797,233.5038604736328,97.72818756103516,59.542236328125,51.42247772216797
2019-01-16,122.2699966430664,234.06890869140625,97.82591247558594,59.96085739135742,51.40095138549805
2019-01-17,122.11000061035156,235.8447723388672,97.85029602050781,60.250083923339844,51.752498626708984
2019-01-18,121.0199966430664,238.9838104248047,97.33740997314453,60.455589294433594,52.369544982910156
2019-01-22,121.44999694824219,235.75506591796875,97.99684143066406,60.27292251586914,51.580318450927734
2019-01-23,121.27999877929688,236.24832153320312,97.95614624023438,60.28053283691406,51.157005310058594
2019-01-24,121.08999633789062,236.37384033203125,98.5993423461914,60.48603057861328,51.22874069213867
2019-01-25,122.86000061035156,238.3739471435547,98.12712097167969,61.23953628540039,51.45834732055664
2019-01-28,123.29000091552734,236.562255859375,98.02941131591797,61.840824127197266,51.113956451416016
2019-01-29,123.9800033569336,236.24832153320312,98.52601623535156,62.327938079833984,51.30766677856445
2019-01-30,124.69000244140625,239.98828125,98.45276641845703,62.830291748046875,51.8673210144043
2019-01-31,124.75,242.09600830078125,99.2994613647461,63.484832763671875,52.57761764526367
2019-02-01,124.5,242.212646484375,98.69973754882812,63.081417083740234,54.4718017578125
2019-02-04,123.95999908447266,243.91668701171875,98.25914001464844,63.55332565307617,53.682559967041016
2019-02-05,124.27999877929688,244.9390869140625,98.7078857421875,63.91865921020508,54.23503494262695
2019-02-06,123.44000244140625,244.61622619628906,98.7568588256836,63.50004196166992,53.99826431274414
